"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3424","@sanity homePageTitleTest","chromium","2026-07-18","passed","2026-07-18","","homePage.spec.ts","",""
"","3101","@smoke Logout Link visible","chromium","2026-07-18","passed","2026-07-18","","homePage.spec.ts","",""
"","3653","@sanity @regression Get Product result count - iMac","chromium","2026-07-18","passed","2026-07-18","","searchfix.spec.ts","",""
"","1248","GET API -- get all users","chromium","2026-07-18","passed","2026-07-18","@smoke @regression @running e2e go rest crud api tests","api/createuser.spec.ts","",""
"","3315","@sanity @regression invalid user login JsonData - playwright@gm.com- Test@123","chromium","2026-07-18","passed","2026-07-18","","loginpagefixtures.spec.ts","",""
"","5036","@sanity @regression testImageCount","chromium","2026-07-18","passed","2026-07-18","","productPageFix.spec.ts","",""
"","3268","@smoke Logout Link visible","chromium","2026-07-18","passed","2026-07-18","","homepagefix.spec.ts","",""
"","3108","userIsAbleToLogin","chromium","2026-07-18","passed","2026-07-18","","loginpage.spec.ts","",""
"","4534","@sanity @regression selectProduct after search- macbook - MacBook Air","chromium","2026-07-18","passed","2026-07-18","","searchfix.spec.ts","",""
"","404","DELETE API -- Delete a user","chromium","2026-07-18","passed","2026-07-18","@smoke @regression @running e2e go rest crud api tests","api/createuser.spec.ts","",""
"","3082","@sanity @regression userIsAbleToLogin","chromium","2026-07-18","passed","2026-07-18","","loginpagefixtures.spec.ts","",""
"","1903","@sanity @regression Create, Update And Get","chromium","2026-07-18","passed","2026-07-18","","api/user.indi.spec.ts","",""
"","2989","@sanity @regression verify HomePAge headers List","chromium","2026-07-18","passed","2026-07-18","","homepagefix.spec.ts","",""
"","2806","@sanity @regression invalid user login test-invalid@gm.com","chromium","2026-07-18","passed","2026-07-18","","loginpagefixtures.spec.ts","",""
"","60","GET LOCATION","chromium","2026-07-18","failed","2026-07-18","","api/oauth2.spec.ts","",""
"","3227","@smoke registration -BC11122","chromium","2026-07-18","passed","2026-07-18","","registrationPage.spec.ts","",""
"","2998","@sanity homePageTitleTest","chromium","2026-07-18","passed","2026-07-18","","homepagefix.spec.ts","",""
"","2480","forgotPassword","chromium","2026-07-18","passed","2026-07-18","","loginpage.spec.ts","",""
"","2299","@smoke loginPageTitle","chromium","2026-07-18","passed","2026-07-18","","loginpage.spec.ts","",""
"","342","PUT API -- Update a user","chromium","2026-07-18","passed","2026-07-18","@smoke @regression @running e2e go rest crud api tests","api/createuser.spec.ts","",""
"","1293","@smoke @sanity Post API--Create user","chromium","2026-07-18","passed","2026-07-18","","api/nn.spec.ts","",""
"","2620","@sanity @regression invalid user login JsonData - abc@gm.com- pass@123","chromium","2026-07-18","passed","2026-07-18","","loginpagefixtures.spec.ts","",""
"","3380","@sanity @regression verify HomePAge headers List","chromium","2026-07-18","passed","2026-07-18","","homePage.spec.ts","",""
"","2057","loginPageTitle","chromium","2026-07-18","passed","2026-07-18","","loginpagefixtures.spec.ts","",""
"","4508","@smoke @sanity @regression invalidLogin","chromium","2026-07-18","passed","2026-07-18","","loginpagefixtures.spec.ts","",""
"","914","@sanity has title","chromium","2026-07-18","passed","2026-07-18","","example.spec.ts","",""
"","370","Post API--Create user","chromium","2026-07-18","passed","2026-07-18","@smoke @regression @running e2e go rest crud api tests","api/createuser.spec.ts","",""
"","2787","forgotPassword","chromium","2026-07-18","passed","2026-07-18","","loginpagefixtures.spec.ts","",""
"","5099","@sanity @regression verify product details","chromium","2026-07-18","passed","2026-07-18","","productPageFix.spec.ts","",""
"","2702","@sanity @regression invalid user login test-test@gm.com","chromium","2026-07-18","passed","2026-07-18","","loginpagefixtures.spec.ts","",""
"","2569","@sanity @regression invalid user login JsonData - - pass@123","chromium","2026-07-18","passed","2026-07-18","","loginpagefixtures.spec.ts","",""
"","2511","@sanity @regression invalid user login test-","chromium","2026-07-18","passed","2026-07-18","","loginpagefixtures.spec.ts","",""
"","704","@sanity @regression Create And Get","chromium","2026-07-18","passed","2026-07-18","","api/user.indi.spec.ts","",""
"","2256","","chromium","2026-07-18","passed","2026-07-18","","loginpage.spec.ts","",""
"","3268","@sanity @regression registrationPageWithSingleMethods -zBC11122","chromium","2026-07-18","passed","2026-07-18","","registrationPage.spec.ts","",""
"","4391","@sanity @regression selectProduct after search- imac - iMac","chromium","2026-07-18","passed","2026-07-18","","searchfix.spec.ts","",""
"","2888","@sanity @regression invalid user login JsonData - abc@gm.com-","chromium","2026-07-18","passed","2026-07-18","","loginpagefixtures.spec.ts","",""
"","4548","@sanity @regression selectProduct after search- macbook - MacBook Pro","chromium","2026-07-18","passed","2026-07-18","","searchfix.spec.ts","",""
"","2587","@sanity @regression invalid user login test-Playwright@gm.com","chromium","2026-07-18","passed","2026-07-18","","loginpagefixtures.spec.ts","",""
"","687","@sanity GET--user","chromium","2026-07-18","passed","2026-07-18","","api/userapischema.spec.ts","",""
"","1136","@sanity @regression get started link","chromium","2026-07-18","passed","2026-07-18","","example.spec.ts","",""
"","3754","@sanity @regression Get Product result count - MacBook Pro","chromium","2026-07-18","passed","2026-07-18","","searchfix.spec.ts","",""
"","3675","@sanity @regression Get Product result count - MacBook Air","chromium","2026-07-18","passed","2026-07-18","","searchfix.spec.ts","",""
"","984","Create, Delete, and Get","chromium","2026-07-18","passed","2026-07-18","","api/user.indi.spec.ts","",""
