"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3216","@smoke Logout Link visible","chromium","2026-08-11","passed","2026-08-11","","homePage.spec.ts","",""
"","4567","@smoke @sanity @regression invalidLogin","chromium","2026-08-11","passed","2026-08-11","","loginpagefixtures.spec.ts","",""
"","3255","@smoke Logout Link visible","chromium","2026-08-11","passed","2026-08-11","","homepagefix.spec.ts","",""
"","2435","@smoke loginPageTitle","chromium","2026-08-11","passed","2026-08-11","","loginpage.spec.ts","",""
"","388","@P4 DELETE API -- Delete a user","chromium","2026-08-11","passed","2026-08-11"," @smoke @running e2e go rest crud api tests","api/createuser.spec.ts","",""
"","377","@P2 Post API--Create user","chromium","2026-08-11","passed","2026-08-11"," @smoke @running e2e go rest crud api tests","api/createuser.spec.ts","",""
"","379","@P3 PUT API -- Update a user","chromium","2026-08-11","passed","2026-08-11"," @smoke @running e2e go rest crud api tests","api/createuser.spec.ts","",""
"","3339","@smoke registration -BC11122","chromium","2026-08-11","passed","2026-08-11","","registrationPage.spec.ts","",""
"","1314","@smoke @sanity Post API--Create user","chromium","2026-08-11","passed","2026-08-11","","api/nn.spec.ts","",""
"","722","@P1 GET API -- get all users","chromium","2026-08-11","passed","2026-08-11"," @smoke @running e2e go rest crud api tests","api/createuser.spec.ts","",""
